"chr","start","end","gc","map","htertrt","gc_bin"
"1",119500001,1.2e+08,0.412134,0.994144,"mid",0.41
"1",146500001,1.47e+08,0.401916,0.984315,"mid",0.4
"1",153000001,153500000,0.428868,0.991947,"early",0.43
"1",154000001,154500000,0.456038,0.998717,"early",0.46
"1",158000001,158500000,0.405832,0.990622,"mid",0.41
"1",159000001,159500000,0.390176,0.989546,"mid",0.39
"1",160500001,1.61e+08,0.431038,0.99463,"early",0.43
"1",162500001,1.63e+08,0.400574,0.990429,"early",0.4
"1",163000001,163500000,0.378556,0.995671,"early",0.38
"1",164500001,1.65e+08,0.412594,0.997747,"late",0.41
"1",165000001,165500000,0.424948,0.997709,"late",0.42
"1",165500001,1.66e+08,0.418916,0.991575,"late",0.42
"1",167000001,167500000,0.417984,0.999467,"mid",0.42
"1",168500001,1.69e+08,0.394702,0.996904,"early",0.39
"1",169000001,169500000,0.378728,0.992881,"early",0.38
"1",170000001,170500000,0.376112,0.988362,"mid",0.38
"1",170500001,1.71e+08,0.380918,0.997466,"mid",0.38
"1",172000001,172500000,0.37829,0.990024,"early",0.38
"1",173000001,173500000,0.394716,0.995432,"early",0.39
"1",173500001,1.74e+08,0.39663,0.997542,"early",0.4
"1",176500001,1.77e+08,0.404588,0.996453,"mid",0.4
"1",178000001,178500000,0.389028,0.993844,"early",0.39
"1",179500001,1.8e+08,0.40462,0.995722,"early",0.4
"1",182500001,1.83e+08,0.413266,0.99758,"early",0.41
"1",183000001,183500000,0.416954,0.999197,"early",0.42
"1",183500001,1.84e+08,0.405828,0.9944,"early",0.41
"1",184000001,184500000,0.399952,0.996139,"early",0.4
"1",185000001,185500000,0.384252,0.991921,"early",0.38
"1",185500001,1.86e+08,0.369932,0.989607,"early",0.37
"1",186000001,186500000,0.365186,0.993971,"early",0.37
"1",186500001,1.87e+08,0.368946,0.994571,"early",0.37
"1",187000001,187500000,0.356672,0.989118,"early",0.36
"1",187500001,1.88e+08,0.357594,0.98542,"mid",0.36
"1",192000001,192500000,0.35042,0.989391,"early",0.35
"1",192500001,1.93e+08,0.374552,0.998693,"early",0.37
"1",193500001,1.94e+08,0.35976,0.987855,"mid",0.36
"1",197000001,197500000,0.358692,0.998714,"mid",0.36
"1",197500001,1.98e+08,0.367088,0.98199,"mid",0.37
"1",199000001,199500000,0.35888,0.996778,"early",0.36
"1",200000001,200500000,0.413202,0.997958,"early",0.41
"1",207000001,207500000,0.416328,0.998313,"early",0.42
"1",209500001,2.1e+08,0.438574,0.999049,"early",0.44
"1",210000001,210500000,0.396584,0.990258,"early",0.4
"1",210500001,2.11e+08,0.426134,0.995742,"early",0.43
"1",211000001,211500000,0.399946,0.994069,"early",0.4
"1",211500001,2.12e+08,0.436648,0.997729,"mid",0.44
"1",214000001,214500000,0.40899,0.999708,"early",0.41
"1",215000001,215500000,0.372252,0.996486,"early",0.37
"1",215500001,2.16e+08,0.37228,0.997644,"early",0.37
"1",216500001,2.17e+08,0.36689,0.995673,"mid",0.37
"1",217500001,2.18e+08,0.367962,0.989508,"mid",0.37
"1",219000001,219500000,0.365916,0.996726,"mid",0.37
"1",221000001,221500000,0.39187,0.996907,"mid",0.39
"1",222000001,222500000,0.403644,0.997563,"early",0.4
"1",225000001,225500000,0.381522,0.992318,"early",0.38
"1",226000001,226500000,0.462594,0.998019,"mid",0.46
"1",227500001,2.28e+08,0.440088,0.998637,"mid",0.44
"1",232500001,2.33e+08,0.413388,0.997389,"mid",0.41
"1",233000001,233500000,0.412666,0.9989,"mid",0.41
"1",234000001,234500000,0.41862,0.997335,"early",0.42
"1",234500001,2.35e+08,0.439592,0.999643,"early",0.44
"1",237500001,2.38e+08,0.373534,0.997926,"mid",0.37
"1",238000001,238500000,0.390982,0.996927,"late",0.39
"1",239000001,239500000,0.365176,0.998951,"late",0.37
"1",239500001,2.4e+08,0.38312,0.988886,"late",0.38
"1",240000001,240500000,0.402066,0.999706,"late",0.4
"1",240500001,2.41e+08,0.401424,0.999679,"late",0.4
"1",241000001,241500000,0.391246,0.99805,"late",0.39
"1",242000001,242500000,0.41999,0.991159,"late",0.42
"1",244000001,244500000,0.42808,0.999428,"late",0.43
"1",244500001,2.45e+08,0.41937,0.993166,"late",0.42
"1",245000001,245500000,0.435688,0.997404,"late",0.44
"1",246000001,246500000,0.404144,0.995039,"late",0.4
"1",247000001,247500000,0.425162,0.990556,"late",0.43
"1",247500001,2.48e+08,0.400438,0.98218,"late",0.4
"10",500001,1e+06,0.474668,0.990292,"late",0.47
"10",2000001,2500000,0.396922,0.997134,"late",0.4
"10",2500001,3e+06,0.409368,0.997881,"late",0.41
"10",6500001,7e+06,0.415548,0.98961,"early",0.42
"10",7000001,7500000,0.427268,0.989473,"mid",0.43
"10",8500001,9e+06,0.375282,0.998874,"mid",0.38
"10",9000001,9500000,0.363898,0.996358,"mid",0.36
"10",10000001,10500000,0.375396,0.995282,"mid",0.38
"10",10500001,1.1e+07,0.403102,0.989063,"mid",0.4
"10",14500001,1.5e+07,0.426308,0.995868,"mid",0.43
"10",16000001,16500000,0.39293,0.996653,"late",0.39
"10",16500001,1.7e+07,0.407284,0.999441,"late",0.41
"10",17000001,17500000,0.39876,0.998538,"late",0.4
"10",18500001,1.9e+07,0.40424,0.996259,"late",0.4
"10",19000001,19500000,0.372278,0.986034,"late",0.37
"10",20500001,2.1e+07,0.38412,0.990108,"mid",0.38
"10",21000001,21500000,0.392784,0.992013,"mid",0.39
"10",22000001,22500000,0.387932,0.991811,"mid",0.39
"10",23500001,2.4e+07,0.404792,0.995604,"mid",0.4
"10",24000001,24500000,0.392812,0.994588,"mid",0.39
"10",24500001,2.5e+07,0.415124,0.995927,"mid",0.42
"10",25000001,25500000,0.410724,0.997915,"mid",0.41
"10",25500001,2.6e+07,0.375134,0.985485,"mid",0.38
"10",27000001,27500000,0.399864,0.997731,"mid",0.4
"10",28000001,28500000,0.38373,0.999182,"mid",0.38
"10",30500001,3.1e+07,0.429644,0.999019,"mid",0.43
"10",31000001,31500000,0.421582,0.992953,"mid",0.42
"10",33000001,33500000,0.398854,0.994948,"early",0.4
"10",33500001,3.4e+07,0.408718,0.991104,"early",0.41
"10",34500001,3.5e+07,0.39194,0.999301,"early",0.39
"10",36500001,3.7e+07,0.382558,0.996705,"mid",0.38
"10",37500001,3.8e+07,0.397256,0.995866,"late",0.4
"10",38000001,38500000,0.407518,0.991154,"late",0.41
"10",43000001,43500000,0.436838,0.993669,"late",0.44
"10",44000001,44500000,0.43568,0.997569,"late",0.44
"10",44500001,4.5e+07,0.435404,0.987609,"late",0.44
"10",45000001,45500000,0.433246,0.998002,"late",0.43
"10",45500001,4.6e+07,0.413692,0.99193,"late",0.41
"10",52000001,52500000,0.40291,0.983031,"mid",0.4
"10",52500001,5.3e+07,0.369336,0.99595,"mid",0.37
"10",53500001,5.4e+07,0.363962,0.986951,"early",0.36
"10",54000001,54500000,0.366648,0.993671,"early",0.37
"10",55000001,55500000,0.356352,0.99236,"early",0.36
"10",55500001,5.6e+07,0.355708,0.991667,"mid",0.36
"10",59500001,6e+07,0.374956,0.998235,"mid",0.37
"10",62000001,62500000,0.376232,0.994292,"early",0.38
"10",62500001,6.3e+07,0.385606,0.99707,"early",0.39
"10",63000001,63500000,0.36578,0.997403,"early",0.37
"10",63500001,6.4e+07,0.393912,0.999194,"early",0.39
"10",65500001,6.6e+07,0.396966,0.992104,"mid",0.4
"10",66500001,6.7e+07,0.349984,0.992658,"mid",0.35
"10",67500001,6.8e+07,0.357348,0.999644,"mid",0.36
"10",68500001,6.9e+07,0.359476,0.995508,"early",0.36
"10",69000001,69500000,0.372782,0.983942,"early",0.37
"10",69500001,7e+07,0.402484,0.998503,"early",0.4
"10",74000001,74500000,0.432934,0.998582,"early",0.43
"10",75500001,7.6e+07,0.449278,0.996189,"early",0.45
"10",76000001,76500000,0.371422,0.998074,"early",0.37
"10",85000001,85500000,0.365598,0.996682,"mid",0.37
"10",85500001,8.6e+07,0.420788,0.991668,"late",0.42
"10",86000001,86500000,0.4095,0.992104,"late",0.41
"10",86500001,8.7e+07,0.391802,0.983863,"mid",0.39
"10",90000001,90500000,0.368924,0.997228,"early",0.37
"10",90500001,9.1e+07,0.382448,0.997907,"early",0.38
"10",91000001,91500000,0.400814,0.99793,"early",0.4
"10",91500001,9.2e+07,0.381912,0.990088,"early",0.38
"10",92000001,92500000,0.373082,0.995903,"early",0.37
"10",92500001,9.3e+07,0.405102,0.997074,"early",0.41
"10",93000001,93500000,0.396944,0.984906,"early",0.4
"10",94000001,94500000,0.422646,0.994363,"mid",0.42
"10",97000001,97500000,0.436148,0.999338,"mid",0.44
"10",98000001,98500000,0.43371,0.998921,"mid",0.43
"10",98500001,9.9e+07,0.449464,0.99806,"mid",0.45
"10",103000001,103500000,0.44014,0.998336,"early",0.44
"10",104500001,1.05e+08,0.434604,0.997481,"early",0.43
"10",105500001,1.06e+08,0.429792,0.999356,"early",0.43
"10",106000001,106500000,0.42952,0.99446,"early",0.43
"10",106500001,1.07e+08,0.406626,0.997076,"early",0.41
"10",107500001,1.08e+08,0.371502,0.988679,"mid",0.37
"10",108000001,108500000,0.383912,0.998829,"mid",0.38
"10",108500001,1.09e+08,0.39756,0.992365,"late",0.4
"10",110000001,110500000,0.37275,0.988729,"mid",0.37
"10",111000001,111500000,0.392582,0.99165,"early",0.39
"10",114500001,1.15e+08,0.44245,0.999965,"mid",0.44
"10",115500001,1.16e+08,0.404674,0.999214,"early",0.4
"10",117000001,117500000,0.346446,0.988194,"early",0.35
"10",118000001,118500000,0.414018,0.997935,"late",0.41
"10",118500001,1.19e+08,0.431944,0.992618,"late",0.43
"10",120000001,120500000,0.412582,0.999097,"early",0.41
"10",122500001,1.23e+08,0.422478,0.98777,"mid",0.42
"10",124500001,1.25e+08,0.423976,0.991177,"mid",0.42
"10",127000001,127500000,0.424808,0.994893,"mid",0.42
"10",127500001,1.28e+08,0.427416,0.99521,"mid",0.43
"10",129000001,129500000,0.430142,0.997297,"late",0.43
"10",129500001,1.3e+08,0.451694,0.998589,"late",0.45
"10",130500001,1.31e+08,0.441978,0.999239,"late",0.44
"10",131000001,131500000,0.437888,0.998223,"late",0.44
"10",131500001,1.32e+08,0.47396,0.996247,"late",0.47
"10",132000001,132500000,0.458692,0.993961,"late",0.46
"10",132500001,1.33e+08,0.482626,0.996774,"late",0.48
"11",5000001,5500000,0.375844,0.989838,"mid",0.38
"11",7000001,7500000,0.386748,0.987841,"mid",0.39
"11",7500001,8e+06,0.414374,0.980857,"mid",0.41
"11",10000001,10500000,0.399852,0.993149,"early",0.4
"11",10500001,1.1e+07,0.429708,0.999395,"early",0.43
"11",11000001,11500000,0.443672,0.997889,"early",0.44
"11",11500001,1.2e+07,0.41659,0.998812,"early",0.42
"11",12000001,12500000,0.451672,0.997938,"early",0.45
"11",12500001,1.3e+07,0.420734,0.999489,"early",0.42
"11",13000001,13500000,0.415624,0.997172,"early",0.42
"11",14000001,14500000,0.413394,0.996991,"early",0.41
"11",16000001,16500000,0.35076,0.997661,"early",0.35
"11",16500001,1.7e+07,0.413674,0.991522,"mid",0.41
"11",18000001,18500000,0.41668,0.996368,"early",0.42
"11",19000001,19500000,0.419684,0.995039,"early",0.42
"11",22500001,2.3e+07,0.362802,0.989232,"late",0.36
"11",23500001,2.4e+07,0.357006,0.996969,"late",0.36
"11",24000001,24500000,0.354614,0.983707,"late",0.35
"11",24500001,2.5e+07,0.350774,0.99562,"late",0.35
"11",28500001,2.9e+07,0.374358,0.997355,"mid",0.37
"11",29500001,3e+07,0.370942,0.992677,"late",0.37
"11",30000001,30500000,0.386378,0.992259,"late",0.39
"11",30500001,3.1e+07,0.381614,0.995852,"late",0.38
"11",33000001,33500000,0.407228,0.99653,"early",0.41
"11",33500001,3.4e+07,0.429172,0.994432,"early",0.43
"11",34500001,3.5e+07,0.407186,0.992274,"early",0.41
"11",35000001,35500000,0.415948,0.995626,"early",0.42
"11",35500001,3.6e+07,0.417626,0.995063,"early",0.42
"11",36000001,36500000,0.439648,0.998105,"early",0.44
"11",39000001,39500000,0.362818,0.99418,"late",0.36
"11",39500001,4e+07,0.365554,0.988743,"late",0.37
"11",40000001,40500000,0.373054,0.997101,"late",0.37
"11",41000001,41500000,0.365956,0.99743,"late",0.37
"11",41500001,4.2e+07,0.370268,0.996516,"late",0.37
"11",42000001,42500000,0.367974,0.990103,"late",0.37
"11",42500001,4.3e+07,0.382538,0.990149,"late",0.38
"11",44000001,44500000,0.45664,0.999158,"late",0.46
"11",48500001,4.9e+07,0.377846,0.982244,"late",0.38
"11",49000001,49500000,0.363404,0.991779,"mid",0.36
"11",49500001,5e+07,0.365996,0.982133,"late",0.37
"11",50000001,50500000,0.39117,0.995464,"late",0.39
"11",55000001,55500000,0.366632,0.988112,"late",0.37
"11",55500001,5.6e+07,0.357144,0.993182,"mid",0.36
"11",58000001,58500000,0.376484,0.992641,"early",0.38
"11",74000001,74500000,0.425218,0.987814,"early",0.43
"11",75500001,7.6e+07,0.43897,0.998223,"mid",0.44
"11",79000001,79500000,0.41879,0.994961,"mid",0.42
"11",79500001,8e+07,0.384956,0.997639,"mid",0.38
"11",80000001,80500000,0.374858,0.998967,"mid",0.37
"11",80500001,8.1e+07,0.36026,0.999017,"mid",0.36
"11",84500001,8.5e+07,0.362636,0.997947,"early",0.36
"11",87000001,87500000,0.38907,0.985982,"early",0.39
"11",89000001,89500000,0.360536,0.989474,"mid",0.36
"11",89500001,9e+07,0.377448,0.984916,"late",0.38
"11",90500001,9.1e+07,0.34861,0.987574,"mid",0.35
"11",91500001,9.2e+07,0.383126,0.993714,"late",0.38
"11",92500001,9.3e+07,0.40065,0.983276,"mid",0.4
"11",93500001,9.4e+07,0.41438,0.983831,"early",0.41
"11",94000001,94500000,0.40433,0.995036,"early",0.4
"11",94500001,9.5e+07,0.406686,0.999261,"early",0.41
"11",95500001,9.6e+07,0.388312,0.99809,"early",0.39
"11",96500001,9.7e+07,0.363688,0.986693,"early",0.36
"11",97000001,97500000,0.358924,0.997673,"early",0.36
"11",98500001,9.9e+07,0.353706,0.994413,"late",0.35
"11",101000001,101500000,0.378222,0.998034,"early",0.38
"11",101500001,1.02e+08,0.384712,0.986928,"early",0.38
"11",102000001,102500000,0.399486,0.992732,"early",0.4
"11",103000001,103500000,0.36331,0.995144,"early",0.36
"11",103500001,1.04e+08,0.378374,0.995393,"early",0.38
"11",104000001,104500000,0.358864,0.996189,"mid",0.36
"11",104500001,1.05e+08,0.361984,0.992709,"mid",0.36
"11",105000001,105500000,0.352576,0.998133,"mid",0.35
"11",106500001,1.07e+08,0.363298,0.997272,"mid",0.36
"11",107000001,107500000,0.377982,0.988814,"mid",0.38
"11",108000001,108500000,0.397058,0.987502,"mid",0.4
"11",109500001,1.1e+08,0.385402,0.996095,"early",0.39
"11",112500001,1.13e+08,0.421426,0.996136,"mid",0.42
"11",113000001,113500000,0.444574,0.996654,"mid",0.44
"11",114500001,1.15e+08,0.41067,0.990473,"late",0.41
"11",118000001,118500000,0.44472,0.998861,"early",0.44
"11",121000001,121500000,0.424136,0.995589,"mid",0.42
"11",121500001,1.22e+08,0.395702,0.986628,"early",0.4
"11",124000001,124500000,0.378928,0.989085,"mid",0.38
"11",126500001,1.27e+08,0.440988,0.999184,"late",0.44
"11",127000001,127500000,0.393018,0.993291,"mid",0.39
"11",129000001,129500000,0.407066,0.990801,"early",0.41
"11",132000001,132500000,0.418672,0.990879,"late",0.42
"11",132500001,1.33e+08,0.41695,0.99979,"late",0.42
"11",133000001,133500000,0.424564,0.99858,"late",0.42
"12",1000001,1500000,0.3995,0.989005,"early",0.4
"12",4500001,5e+06,0.416972,0.993988,"mid",0.42
"12",8500001,9e+06,0.425494,0.986109,"late",0.43
"12",9000001,9500000,0.408416,0.993658,"late",0.41
"12",9500001,1e+07,0.401442,0.989465,"late",0.4
"12",10500001,1.1e+07,0.36665,0.987759,"early",0.37
"12",11000001,11500000,0.372514,0.986396,"early",0.37
"12",13000001,13500000,0.435562,0.998612,"early",0.44
"12",14500001,1.5e+07,0.38677,0.99683,"early",0.39
"12",15000001,15500000,0.376324,0.997768,"early",0.38
"12",15500001,1.6e+07,0.37357,0.998147,"early",0.37
"12",16000001,16500000,0.382448,0.997959,"early",0.38
"12",16500001,1.7e+07,0.362586,0.994438,"early",0.36
"12",17000001,17500000,0.355312,0.993183,"early",0.36
"12",18000001,18500000,0.353544,0.994224,"early",0.35
"12",18500001,1.9e+07,0.36429,0.995295,"early",0.36
"12",20000001,20500000,0.369968,0.999215,"mid",0.37
"12",21500001,2.2e+07,0.374968,0.987773,"late",0.37
"12",22000001,22500000,0.379966,0.991977,"late",0.38
"12",22500001,2.3e+07,0.369786,0.985141,"late",0.37
"12",24000001,24500000,0.35679,0.998723,"mid",0.36
"12",26500001,2.7e+07,0.383368,0.994603,"early",0.38
"12",28000001,28500000,0.373428,0.995488,"early",0.37
"12",28500001,2.9e+07,0.365912,0.992333,"early",0.37
"12",31500001,3.2e+07,0.423394,0.998797,"mid",0.42
"12",32000001,32500000,0.420308,0.9968,"mid",0.42
"12",33500001,3.4e+07,0.359256,0.995244,"early",0.36
"12",34000001,34500000,0.41502,0.991265,"late",0.42
"12",38000001,38500000,0.375456,0.992717,"late",0.38
"12",38500001,3.9e+07,0.379226,0.9958,"late",0.38
"12",39000001,39500000,0.366068,0.986572,"late",0.37
"12",40000001,40500000,0.368314,0.982997,"late",0.37
"12",41500001,4.2e+07,0.363704,0.996082,"late",0.36
"12",42000001,42500000,0.388462,0.981376,"late",0.39
"12",43000001,43500000,0.38768,0.996239,"mid",0.39
"12",44000001,44500000,0.379494,0.99119,"mid",0.38
"12",45500001,4.6e+07,0.39573,0.993094,"early",0.4
"12",46000001,46500000,0.379718,0.998971,"early",0.38
"12",46500001,4.7e+07,0.39079,0.995893,"early",0.39
"12",47000001,47500000,0.384032,0.990568,"early",0.38
"12",47500001,4.8e+07,0.4043,0.994481,"early",0.4
"12",48500001,4.9e+07,0.408572,0.985593,"early",0.41
"12",51000001,51500000,0.422706,0.996945,"early",0.42
"12",51500001,5.2e+07,0.446622,0.986901,"early",0.45
"12",58500001,5.9e+07,0.388654,0.983146,"early",0.39
"12",59000001,59500000,0.372932,0.996067,"early",0.37
"12",62000001,62500000,0.363898,0.98957,"mid",0.36
"12",62500001,6.3e+07,0.368012,0.999269,"early",0.37
"12",63000001,63500000,0.413288,0.998376,"mid",0.41
"12",63500001,6.4e+07,0.374604,0.987058,"early",0.37
"12",64000001,64500000,0.38738,0.986262,"early",0.39
"12",64500001,6.5e+07,0.412712,0.981004,"early",0.41
"12",65000001,65500000,0.412998,0.99942,"early",0.41
"12",65500001,6.6e+07,0.379196,0.991778,"early",0.38
"12",66500001,6.7e+07,0.398868,0.990776,"early",0.4
"12",67000001,67500000,0.381042,0.998449,"early",0.38
"12",68000001,68500000,0.3972,0.989372,"early",0.4
"12",68500001,6.9e+07,0.400252,0.998647,"early",0.4
"12",71000001,71500000,0.374584,0.989681,"mid",0.37
"12",74500001,7.5e+07,0.357428,0.995035,"early",0.36
"12",75500001,7.6e+07,0.35983,0.997155,"early",0.36
"12",76000001,76500000,0.39598,0.997129,"early",0.4
"12",76500001,7.7e+07,0.389838,0.996363,"early",0.39
"12",77500001,7.8e+07,0.374078,0.991745,"early",0.37
"12",78000001,78500000,0.356664,0.992975,"early",0.36
"12",78500001,7.9e+07,0.355564,0.99596,"early",0.36
"12",80000001,80500000,0.37376,0.996833,"early",0.37
"12",81000001,81500000,0.360098,0.997149,"mid",0.36
"12",82000001,82500000,0.356248,0.994891,"late",0.36
"12",87000001,87500000,0.341408,0.98698,"early",0.34
"12",87500001,8.8e+07,0.353524,0.9906,"early",0.35
"12",88000001,88500000,0.357044,0.985384,"early",0.36
"12",88500001,8.9e+07,0.364162,0.997378,"early",0.36
"12",89000001,89500000,0.368368,0.988833,"early",0.37
"12",90000001,90500000,0.373314,0.99525,"early",0.37
"12",90500001,9.1e+07,0.357194,0.990294,"early",0.36
"12",91000001,91500000,0.35246,0.99693,"early",0.35
"12",91500001,9.2e+07,0.357426,0.998242,"early",0.36
"12",93500001,9.4e+07,0.416062,0.999385,"mid",0.42
"12",97000001,97500000,0.379376,0.992514,"early",0.38
"12",99000001,99500000,0.4011,0.997994,"mid",0.4
"12",99500001,1e+08,0.366928,0.998426,"mid",0.37
"12",100500001,1.01e+08,0.406968,0.998772,"late",0.41
"12",103000001,103500000,0.399354,0.994845,"mid",0.4
"12",103500001,1.04e+08,0.38414,0.993293,"early",0.38
"12",105500001,1.06e+08,0.41445,0.995708,"early",0.41
"12",106000001,106500000,0.41756,0.988219,"mid",0.42
"12",106500001,1.07e+08,0.423426,0.990597,"mid",0.42
"12",107000001,107500000,0.40263,0.998174,"mid",0.4
"12",108000001,108500000,0.42946,0.99745,"mid",0.43
"12",115000001,115500000,0.443186,0.999728,"late",0.44
"12",115500001,1.16e+08,0.423534,0.994952,"late",0.42
"12",116000001,116500000,0.422536,0.999854,"late",0.42
"12",116500001,1.17e+08,0.425584,0.999652,"late",0.43
"12",117000001,117500000,0.460372,0.999903,"late",0.46
"12",117500001,1.18e+08,0.469472,0.998684,"late",0.47
"12",119000001,119500000,0.423878,0.997168,"mid",0.42
"12",124000001,124500000,0.458526,0.999153,"early",0.46
"12",126500001,1.27e+08,0.406744,0.986773,"mid",0.41
"12",128000001,128500000,0.411866,0.994268,"late",0.41
"12",129000001,129500000,0.461184,0.999303,"late",0.46
"12",129500001,1.3e+08,0.430624,0.991414,"late",0.43
"12",130000001,130500000,0.430788,0.992501,"late",0.43
"13",21000001,21500000,0.414842,0.999675,"mid",0.41
"13",23000001,23500000,0.382622,0.994034,"late",0.38
"13",23500001,2.4e+07,0.410242,0.998265,"late",0.41
"13",24000001,24500000,0.411336,0.997852,"late",0.41
"13",24500001,2.5e+07,0.440478,0.995441,"late",0.44
"13",25000001,25500000,0.4225,0.993954,"late",0.42
"13",25500001,2.6e+07,0.417356,0.997518,"late",0.42
"13",26000001,26500000,0.412066,0.996045,"late",0.41
"13",26500001,2.7e+07,0.405208,0.998865,"late",0.41
"13",27000001,27500000,0.430918,0.99782,"late",0.43
"13",27500001,2.8e+07,0.438284,0.99838,"late",0.44
"13",28000001,28500000,0.422772,0.999566,"late",0.42
"13",28500001,2.9e+07,0.417502,0.999127,"late",0.42
"13",29000001,29500000,0.416384,0.997501,"late",0.42
"13",29500001,3e+07,0.402914,0.99423,"late",0.4
"13",31000001,31500000,0.43548,0.997081,"mid",0.44
"13",32000001,32500000,0.389686,0.996782,"mid",0.39
"13",32500001,3.3e+07,0.39255,0.998916,"mid",0.39
"13",33000001,33500000,0.391214,0.996247,"mid",0.39
"13",34000001,34500000,0.38322,0.997642,"mid",0.38
"13",35000001,35500000,0.391368,0.989005,"late",0.39
"13",36000001,36500000,0.390726,0.998869,"late",0.39
"13",36500001,3.7e+07,0.39092,0.991602,"late",0.39
"13",37000001,37500000,0.398248,0.996744,"late",0.4
"13",38000001,38500000,0.35526,0.995338,"mid",0.36
"13",38500001,3.9e+07,0.358244,0.990353,"mid",0.36
"13",39000001,39500000,0.370634,0.999624,"mid",0.37
"13",39500001,4e+07,0.385752,0.992176,"mid",0.39
